id,title,number,lon,lat,distance,image,street,housenumber,zip,city,freiplatzstatus/0/gueltigAb,freiplatzstatus/0/plaetzeVerfuegbar,freiplatzstatus/1/gueltigAb,freiplatzstatus/1/plaetzeVerfuegbar,freiplatzstatus/2/gueltigAb,freiplatzstatus/2/plaetzeVerfuegbar,freiplatzstatus/3/gueltigAb,freiplatzstatus/3/plaetzeVerfuegbar,freiplatzstatus/4/gueltigAb,freiplatzstatus/4/plaetzeVerfuegbar,freiplatzstatus/5/gueltigAb,freiplatzstatus/5/plaetzeVerfuegbar,freiplatzstatus/6/gueltigAb,freiplatzstatus/6/plaetzeVerfuegbar,freiplatzstatus/7/gueltigAb,freiplatzstatus/7/plaetzeVerfuegbar,freiplatzstatus/8/gueltigAb,freiplatzstatus/8/plaetzeVerfuegbar
1489,Ev. Kita Hermsdorf,12200660,13.311963612387624,52.617318747616295,14.26,/fallback_einrichtung_vorschau.jpg,Schloßstr.,39,13467,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2279,Ev. Regenbogenkita,10230800,13.60725644669594,52.53197156931515,14.26,/fallback_einrichtung_vorschau.jpg,Adorfer Str.,8,12627,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
473229,Klax Kindergarten Karlsson vom Dach,05081820,13.198243047461641,52.5333869456467,14.27,/bilder/einrichtungsvorschau/473229,Klosterstr.,3,13581,Berlin,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
2284,Kita Traumzauberhaus,10230430,13.600783048255256,52.54550373221319,14.28,/bilder/einrichtungsvorschau/2284,Teupitzer Str.,10,12627,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1035,Kita Kindertreff,05080610,13.194709513469252,52.52406125840796,14.29,/fallback_einrichtung_vorschau.jpg,Földerichstr.,67,13595,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
715229,Kita Die Lutherzwerge,10231130,13.613157579985877,52.49300077899215,14.29,/bilder/einrichtungsvorschau/715229,Lutherstr.,12,12623,Berlin,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
2771,IntegrationsKITA Hand in Hand,09160530,13.591226727197284,52.44388220135216,14.3,/bilder/einrichtungsvorschau/2771,Salvador-Allende-Str.,47,12559,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
339,EKT - Dreiecke und Kreise,05080820,13.205137453641145,52.54737604463129,14.3,/fallback_einrichtung_vorschau.jpg,Jagowstr.,16A,13585,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1757,EKT - Kinderhaus Gruberzeile,05080680,13.204998393025859,52.5474224884831,14.31,/fallback_einrichtung_vorschau.jpg,Jagowstr.,16,13585,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1726,Kita Münsingerstraße,05080180,13.199561863581573,52.537766894462266,14.31,/fallback_einrichtung_vorschau.jpg,Münsingerstr.,3,13597,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
